iter	Passed	Remaining
0	134	134664
1	135	67778
2	137	45606
3	138	34552
4	139	27825
5	140	23319
6	141	20113
7	142	17730
8	144	15946
9	146	14494
10	148	13323
11	149	12344
12	151	11469
13	152	10736
14	153	10089
15	154	9518
16	157	9132
17	159	8702
18	160	8302
19	162	7941
20	163	7604
21	164	7301
22	165	7050
23	167	6805
24	168	6575
25	170	6376
26	171	6190
27	173	6013
28	174	5841
29	175	5679
30	176	5523
31	177	5377
32	179	5251
33	180	5127
34	181	5012
35	183	4919
36	186	4852
37	188	4760
38	189	4672
39	191	4586
40	192	4494
41	193	4406
42	194	4320
43	195	4240
44	196	4167
45	197	4094
46	199	4046
47	201	3994
48	202	3932
49	204	3882
50	205	3829
51	207	3773
52	208	3723
53	210	3680
54	211	3639
55	214	3617
56	216	3581
57	218	3548
58	220	3512
59	222	3479
60	223	3442
61	225	3410
62	226	3373
63	234	3435
64	236	3396
65	238	3369
66	239	3335
67	240	3299
68	241	3264
69	244	3248
70	245	3217
71	247	3185
72	249	3162
73	250	3136
74	252	3114
75	254	3088
76	255	3066
77	257	3039
78	260	3034
79	262	3020
80	264	3003
81	267	2994
82	268	2965
83	269	2942
84	271	2920
85	273	2906
86	275	2894
87	277	2875
88	278	2853
89	280	2838
90	282	2823
91	284	2805
92	286	2798
93	288	2785
94	290	2769
95	294	2770
96	295	2754
97	297	2742
98	299	2723
99	301	2716
100	306	2724
101	308	2714
102	310	2704
103	312	2689
104	313	2674
105	314	2656
106	319	2662
107	321	2651
108	322	2635
109	323	2620
110	325	2606
111	326	2592
112	328	2579
113	331	2572
114	333	2565
115	335	2553
116	336	2538
117	337	2522
118	338	2509
119	341	2501
120	342	2491
121	344	2478
122	349	2495
123	351	2485
124	353	2473
125	355	2465
126	356	2451
127	358	2439
128	359	2424
129	360	2414
130	363	2413
131	365	2402
132	367	2392
133	369	2386
134	370	2375
135	372	2364
136	373	2353
137	378	2364
138	381	2360
139	382	2351
140	384	2343
141	386	2333
142	388	2326
143	392	2334
144	395	2333
145	397	2326
146	399	2319
147	401	2310
148	402	2300
149	404	2293
150	407	2288
151	408	2279
152	410	2273
153	412	2263
154	413	2253
155	415	2246
156	416	2237
157	418	2229
158	423	2240
159	425	2233
160	426	2221
161	428	2214
162	429	2204
163	430	2196
164	432	2189
165	435	2185
166	436	2178
167	438	2170
168	439	2161
169	440	2152
170	442	2146
171	444	2140
172	446	2132
173	447	2123
174	450	2125
175	452	2117
176	453	2109
177	455	2102
178	457	2098
179	459	2091
180	461	2087
181	463	2082
182	466	2083
183	468	2077
184	471	2077
185	473	2070
186	474	2061
187	475	2054
188	479	2055
189	481	2053
190	484	2051
191	486	2047
192	487	2040
193	489	2033
194	491	2027
195	494	2028
196	495	2021
197	497	2015
198	499	2012
199	501	2005
200	502	1999
201	504	1991
202	505	1983
203	506	1976
204	509	1975
205	510	1969
206	512	1962
207	513	1954
208	514	1946
209	515	1940
210	517	1933
211	518	1925
212	519	1918
213	520	1913
214	523	1911
215	525	1908
216	527	1903
217	529	1899
218	531	1895
219	532	1889
220	534	1882
221	535	1878
222	537	1873
223	539	1869
224	541	1864
225	542	1859
226	545	1855
227	546	1849
228	547	1843
229	548	1837
230	549	1830
231	552	1829
232	554	1824
233	555	1818
234	556	1813
235	558	1807
236	559	1802
237	561	1798
238	563	1793
239	564	1788
240	569	1794
241	571	1789
242	572	1783
243	574	1779
244	576	1775
245	577	1771
246	579	1767
247	582	1766
248	584	1761
249	585	1757
250	587	1752
251	588	1747
252	589	1741
253	591	1735
254	592	1730
255	593	1725
256	596	1724
257	597	1719
258	599	1714
259	600	1708
260	602	1704
261	603	1700
262	605	1697
263	607	1692
264	608	1688
265	612	1689
266	614	1686
267	615	1682
268	618	1680
269	619	1674
270	620	1670
271	622	1665
272	623	1661
273	635	1682
274	636	1677
275	638	1673
276	639	1668
277	640	1664
278	642	1659
279	643	1655
280	644	1649
281	646	1645
282	648	1641
283	650	1639
284	651	1634
285	654	1632
286	656	1629
287	657	1625
288	659	1621
289	660	1617
290	662	1613
291	663	1608
292	664	1603
293	666	1600
294	668	1598
295	670	1594
296	672	1590
297	673	1586
298	674	1581
299	676	1578
300	678	1574
301	679	1570
302	682	1570
303	686	1571
304	687	1567
305	689	1562
306	690	1559
307	692	1555
308	694	1552
309	696	1549
310	698	1547
311	700	1544
312	701	1540
313	703	1537
314	705	1534
315	706	1530
316	708	1526
317	716	1536
318	718	1533
319	720	1530
320	722	1527
321	723	1524
322	725	1520
323	728	1520
324	730	1516
325	731	1513
326	733	1509
327	735	1507
328	737	1503
329	738	1500
330	740	1496
331	744	1498
332	746	1494
333	747	1490
334	749	1486
335	750	1482
336	751	1478
337	753	1475
338	754	1471
339	759	1474
340	762	1472
341	764	1471
342	765	1466
343	767	1463
344	768	1459
345	771	1458
346	774	1456
347	775	1453
348	776	1449
349	778	1445
350	780	1442
351	781	1438
352	782	1434
353	784	1431
354	786	1429
355	788	1425
356	791	1424
357	793	1422
358	794	1418
359	796	1415
360	797	1412
361	799	1409
362	802	1407
363	804	1405
364	805	1401
365	807	1398
366	808	1394
367	809	1390
368	811	1386
369	812	1382
370	813	1379
371	817	1379
372	818	1376
373	820	1373
374	822	1371
375	824	1368
376	826	1364
377	827	1361
378	828	1357
379	831	1356
380	833	1354
381	839	1357
382	850	1369
383	865	1388
384	867	1385
385	868	1381
386	870	1378
387	877	1383
388	880	1383
389	883	1381
390	885	1379
391	892	1384
392	894	1382
393	896	1378
394	897	1375
395	900	1373
396	906	1377
397	948	1434
398	950	1431
399	953	1429
400	955	1427
401	957	1425
402	959	1420
403	960	1416
404	961	1412
405	962	1408
406	964	1405
407	972	1410
408	973	1407
409	975	1403
410	978	1401
411	980	1399
412	984	1399
413	986	1396
414	987	1392
415	989	1389
416	991	1386
417	993	1382
418	995	1380
419	997	1377
420	998	1373
421	1000	1370
422	1002	1367
423	1003	1363
424	1004	1359
425	1006	1355
426	1007	1352
427	1010	1350
428	1012	1347
429	1013	1343
430	1015	1340
431	1017	1337
432	1018	1333
433	1020	1330
434	1021	1327
435	1023	1324
436	1025	1320
437	1026	1317
438	1028	1313
439	1029	1310
440	1030	1306
441	1032	1303
442	1034	1301
443	1036	1298
444	1039	1296
445	1041	1294
446	1043	1291
447	1044	1287
448	1046	1283
449	1047	1280
450	1049	1277
451	1050	1274
452	1053	1272
453	1055	1269
454	1057	1266
455	1059	1263
456	1060	1260
457	1062	1257
458	1064	1255
459	1066	1252
460	1071	1252
461	1072	1248
462	1073	1244
463	1075	1242
464	1076	1238
465	1078	1235
466	1079	1232
467	1080	1228
468	1081	1224
469	1083	1221
470	1085	1218
471	1086	1215
472	1088	1213
473	1090	1209
474	1092	1207
475	1093	1203
476	1095	1201
477	1099	1200
478	1100	1197
479	1102	1194
480	1104	1192
481	1106	1188
482	1107	1185
483	1108	1181
